,client_id,visit_id,visitor_id,treatment_group,total_steps,backward_steps,error_rate
0,555,637149525_38041617439_716659,402506806_56087378777,Test,5,0,0.0
1,647,40369564_40101682850_311847,66758770_53988066587,Test,5,0,0.0
2,934,7076463_57954418406_971348,810392784_45004760546,Test,4,0,0.0
3,1028,557292053_87239438319_391157,42237450_62128060588,Control,9,2,22.22222222222222
4,1186,795373564_99931517312_810896,446844663_31615102958,Control,3,0,0.0
5,1195,393817425_39015278493_996341,766842522_69992551638,Control,5,0,0.0
6,1197,71862471_21202285428_848395,753759429_54481946928,Control,7,1,14.285714285714285
7,1336,583743392_96265099036_939815,920624746_32603333901,Test,5,0,0.0
8,1336,614001770_19101025926_112779,920624746_32603333901,Test,2,0,0.0
9,1346,27144337_83739845380_214282,123474046_4204671056,Test,10,2,20.0
10,1516,255400977_38039535960_779641,182314299_63168583136,Test,5,0,0.0
11,1516,481123290_95510977345_707323,182314299_63168583136,Test,11,3,27.27272727272727
12,1643,633860590_96880450633_976109,910842861_51062379179,Test,4,1,25.0
13,1643,753205700_16851596206_134483,121807985_20524560478,Test,5,0,0.0
14,1755,420603142_53705621002_674558,230596682_29327090182,Test,5,0,0.0
15,1755,690855460_62242406510_53318,230596682_29327090182,Test,4,0,0.0
16,1836,275887696_51740057136_798210,619440135_40983729273,Test,4,1,25.0
17,1836,345390098_74280409830_379078,619440135_40983729273,Test,2,0,0.0
18,1836,624455994_87386716654_950064,619440135_40983729273,Test,6,0,0.0
19,1936,943469853_76229226125_839996,883992205_24100452548,Test,10,1,10.0
20,2720,565429886_73206140156_730955,560535515_73647480772,Test,3,0,0.0
21,3232,842251962_41107309625_824575,48719955_20160099584,Test,5,0,0.0
22,3572,353683085_82881264671_340960,339364993_3869667206,Test,5,0,0.0
23,3647,53540785_76819002881_890663,742136411_92170694666,Control,5,1,20.0
24,3743,438930656_9173628148_961548,179439784_83920302761,Control,5,0,0.0
25,4369,656208801_69300634704_561318,162117827_70395546784,Test,5,0,0.0
26,4484,66056328_29973355596_981576,929634148_40943099576,Test,7,0,0.0
27,4603,737367756_66604855414_331627,587203336_56340498594,Test,5,0,0.0
28,4717,272348829_81139455656_832357,263467736_20983070341,Test,5,1,20.0
29,4717,57127699_86570634961_675092,263467736_20983070341,Test,5,0,0.0
30,4870,873551439_92996250161_694958,217208323_14886849973,Test,5,0,0.0
31,5354,192604721_14077630095_819213,233679354_36495397627,Control,5,0,0.0
32,5354,216367358_55024634523_791141,233679354_36495397627,Control,2,0,0.0
33,5845,311782725_46885639870_397735,107020087_57150768871,Test,4,0,0.0
34,5845,568024739_52280552355_814744,107020087_57150768871,Test,5,0,0.0
35,6022,90417311_41511510822_989121,180601604_64159554872,Test,3,1,33.33333333333333
36,6642,261034804_26267268728_251909,378857471_644475492,Control,5,0,0.0
37,6904,15987159_15900720498_971848,335388593_51472089542,Test,5,0,0.0
38,6977,613260866_97547229511_110040,792636892_70609946663,Control,5,0,0.0
39,6985,702486929_79839403728_901057,157368510_91928042506,Control,6,0,0.0
40,7020,141218980_10356302866_412831,131463516_45910398094,Control,2,0,0.0
41,7020,61344667_49617029714_100250,131463516_45910398094,Control,10,3,30.0
42,7561,673152447_16478030452_207967,374207007_19518941180,Test,2,0,0.0
43,7561,728540633_30199135226_481610,374207007_19518941180,Test,4,1,25.0
44,7563,258809082_93130763605_162548,476824493_82594224170,Test,5,0,0.0
45,7567,479688167_74317487515_880130,163847730_30321246396,Control,5,0,0.0
46,7657,155200945_99956206989_392959,591719386_90464616750,Test,7,1,14.285714285714285
47,7723,36140743_8336766245_636783,17946235_32107621969,Test,5,0,0.0
48,7934,404712182_59923370646_199213,370980102_64628679348,Test,3,1,33.33333333333333
49,8023,950045632_4255089073_698578,556674477_26750431479,Test,2,0,0.0
50,8039,194471241_93096980194_578527,118857899_74239220729,Control,4,0,0.0
51,8055,591215489_42877226040_403051,378922878_66802415648,Test,5,0,0.0
52,8101,108937428_94918779072_42035,757154552_88739859416,Control,5,0,0.0
53,8610,243751268_9020460563_923194,199799684_98530111815,Test,2,0,0.0
54,8712,102999029_97734962870_849096,908190802_92056500491,Test,6,1,16.666666666666664
55,8820,784948529_13451538908_450982,614608832_77543048071,Test,5,0,0.0
56,9229,794978950_70484965288_55630,810786857_11889939941,Control,8,3,37.5
57,9751,158586948_58770146204_677956,371374112_82466346974,Test,7,3,42.857142857142854
58,9767,144835432_25378933328_142085,764845651_97641705844,Control,5,0,0.0
59,9767,489352012_61191794311_961146,764845651_97641705844,Control,5,0,0.0
60,9916,365323660_31050020424_186681,463677360_47276561020,Test,3,0,0.0
61,9916,451811817_84380249387_305604,463677360_47276561020,Test,2,0,0.0
62,10344,595675198_11906913204_686811,143222235_99177457862,Control,5,0,0.0
63,10363,962746288_93338547568_270776,771736413_80019396313,Test,2,0,0.0
64,11040,397085842_12222861165_320419,697479603_94041726558,Test,5,0,0.0
65,11054,175972021_93800420846_435503,952592414_63731951988,Control,6,0,0.0
66,11070,273595684_60051533546_495174,503142724_47551214565,Control,4,0,0.0
67,11070,681895519_7554253726_390001,615941288_43248755936,Control,8,0,0.0
68,11122,117291376_25284975669_155364,794370601_86104737583,Control,5,0,0.0
69,11309,810470354_19878806918_278799,318031130_71925776535,Test,5,0,0.0
70,11880,131524079_26572064021_279117,981741619_79128678482,Test,10,1,10.0
71,12045,477989259_22493316291_521653,419605351_64615520304,Control,3,0,0.0
72,12785,475801280_89400626798_718400,33331311_24456160977,Test,7,0,0.0
73,13009,377986493_6391607481_598681,360435735_44466390795,Control,8,2,25.0
74,13735,906462602_58904346369_302554,122192006_67309879998,Test,6,0,0.0
75,13831,146214316_74585352883_309974,841596667_34744324631,Control,5,1,20.0
76,13831,89007579_77532175971_965339,592410323_73923628204,Control,4,0,0.0
77,14690,110627488_22526312169_56361,540335303_98817561630,Test,3,1,33.33333333333333
78,15050,111810502_99789384545_571230,143172828_43549799833,Test,9,2,22.22222222222222
79,15189,190888402_43860806040_541800,221904994_20377642514,Test,5,0,0.0
80,15753,395225539_72187591129_857978,601984694_38256669083,Test,3,0,0.0
81,15753,899381947_58477487045_97772,601984694_38256669083,Test,7,3,42.857142857142854
82,15807,361011438_92056875599_228427,397008369_16010030989,Test,5,1,20.0
83,16095,645543282_32237350832_786360,949438903_33910261122,Control,4,0,0.0
84,16098,467795137_58470186499_647303,996452768_65675024001,Test,5,0,0.0
85,16135,134174297_19985183355_947935,375602926_50119717068,Control,7,1,14.285714285714285
86,16135,252156179_52504721538_22420,973833159_30067220181,Control,3,0,0.0
87,16135,603799110_74928570629_78901,973833159_30067220181,Control,2,0,0.0
88,16135,739783204_67389693968_203186,973833159_30067220181,Control,2,0,0.0
89,16202,645653515_55313657084_433580,74006986_82466416065,Control,2,0,0.0
90,16295,558426632_81642086968_118345,683840870_77493421156,Test,9,2,22.22222222222222
91,16549,64524171_30897881403_51439,784001246_8842193453,Control,7,1,14.285714285714285
92,16549,753427569_18850244409_814756,536420175_30932891358,Control,2,0,0.0
93,16679,631094538_40934578387_732941,959665218_67396459252,Control,3,0,0.0
94,16679,85558076_31261622200_309744,959665218_67396459252,Control,4,0,0.0
95,16744,597759195_79881251371_979710,766096095_2144396134,Control,2,0,0.0
96,16747,710509256_16863194822_534405,191665641_90974278230,Control,5,0,0.0
97,17008,783164451_73914575132_100535,970665876_3539744812,Control,5,0,0.0
