client_id,visit_id,treatment_group,num_backward_steps,total_steps,error_rate
555,637149525_38041617439_716659,Test,0,5,0.0
647,40369564_40101682850_311847,Test,0,5,0.0
934,7076463_57954418406_971348,Test,0,4,0.0
1028,557292053_87239438319_391157,Control,2,9,0.2222222222222222
1186,795373564_99931517312_810896,Control,0,3,0.0
1195,393817425_39015278493_996341,Control,0,5,0.0
1197,71862471_21202285428_848395,Control,1,7,0.14285714285714285
1336,583743392_96265099036_939815,Test,0,5,0.0
1336,614001770_19101025926_112779,Test,0,2,0.0
1346,27144337_83739845380_214282,Test,2,10,0.2
1516,255400977_38039535960_779641,Test,0,5,0.0
1516,481123290_95510977345_707323,Test,3,11,0.2727272727272727
1643,633860590_96880450633_976109,Test,1,4,0.25
1643,753205700_16851596206_134483,Test,0,5,0.0
1755,420603142_53705621002_674558,Test,0,5,0.0
1755,690855460_62242406510_53318,Test,0,4,0.0
1836,275887696_51740057136_798210,Test,1,4,0.25
1836,345390098_74280409830_379078,Test,0,2,0.0
1836,624455994_87386716654_950064,Test,0,6,0.0
1936,943469853_76229226125_839996,Test,1,10,0.1
2720,565429886_73206140156_730955,Test,0,3,0.0
3232,842251962_41107309625_824575,Test,0,5,0.0
3572,353683085_82881264671_340960,Test,0,5,0.0
3647,53540785_76819002881_890663,Control,1,5,0.2
3743,438930656_9173628148_961548,Control,0,5,0.0
4369,656208801_69300634704_561318,Test,0,5,0.0
4484,66056328_29973355596_981576,Test,0,7,0.0
4603,737367756_66604855414_331627,Test,0,5,0.0
4717,272348829_81139455656_832357,Test,1,5,0.2
4717,57127699_86570634961_675092,Test,0,5,0.0
4870,873551439_92996250161_694958,Test,0,5,0.0
5354,192604721_14077630095_819213,Control,0,5,0.0
5354,216367358_55024634523_791141,Control,0,2,0.0
5845,311782725_46885639870_397735,Test,0,4,0.0
5845,568024739_52280552355_814744,Test,0,5,0.0
6022,90417311_41511510822_989121,Test,1,3,0.3333333333333333
6642,261034804_26267268728_251909,Control,0,5,0.0
6904,15987159_15900720498_971848,Test,0,5,0.0
6977,613260866_97547229511_110040,Control,0,5,0.0
6985,702486929_79839403728_901057,Control,0,6,0.0
7020,141218980_10356302866_412831,Control,0,2,0.0
7020,61344667_49617029714_100250,Control,3,10,0.3
7561,673152447_16478030452_207967,Test,0,2,0.0
7561,728540633_30199135226_481610,Test,1,4,0.25
7563,258809082_93130763605_162548,Test,0,5,0.0
7567,479688167_74317487515_880130,Control,0,5,0.0
7657,155200945_99956206989_392959,Test,1,7,0.14285714285714285
7723,36140743_8336766245_636783,Test,0,5,0.0
7934,404712182_59923370646_199213,Test,1,3,0.3333333333333333
8023,950045632_4255089073_698578,Test,0,2,0.0
8039,194471241_93096980194_578527,Control,0,4,0.0
8055,591215489_42877226040_403051,Test,0,5,0.0
8101,108937428_94918779072_42035,Control,0,5,0.0
8610,243751268_9020460563_923194,Test,0,2,0.0
8712,102999029_97734962870_849096,Test,1,6,0.16666666666666666
8820,784948529_13451538908_450982,Test,0,5,0.0
9229,794978950_70484965288_55630,Control,3,8,0.375
9751,158586948_58770146204_677956,Test,3,7,0.42857142857142855
9767,144835432_25378933328_142085,Control,0,5,0.0
9767,489352012_61191794311_961146,Control,0,5,0.0
9916,365323660_31050020424_186681,Test,0,3,0.0
9916,451811817_84380249387_305604,Test,0,2,0.0
10344,595675198_11906913204_686811,Control,0,5,0.0
10363,962746288_93338547568_270776,Test,0,2,0.0
11040,397085842_12222861165_320419,Test,0,5,0.0
11054,175972021_93800420846_435503,Control,0,6,0.0
11070,273595684_60051533546_495174,Control,0,4,0.0
11070,681895519_7554253726_390001,Control,0,8,0.0
11122,117291376_25284975669_155364,Control,0,5,0.0
11309,810470354_19878806918_278799,Test,0,5,0.0
11880,131524079_26572064021_279117,Test,1,10,0.1
12045,477989259_22493316291_521653,Control,0,3,0.0
12785,475801280_89400626798_718400,Test,0,7,0.0
13009,377986493_6391607481_598681,Control,2,8,0.25
13735,906462602_58904346369_302554,Test,0,6,0.0
13831,146214316_74585352883_309974,Control,1,5,0.2
13831,89007579_77532175971_965339,Control,0,4,0.0
14690,110627488_22526312169_56361,Test,1,3,0.3333333333333333
15050,111810502_99789384545_571230,Test,2,9,0.2222222222222222
15189,190888402_43860806040_541800,Test,0,5,0.0
15753,395225539_72187591129_857978,Test,0,3,0.0
15753,899381947_58477487045_97772,Test,3,7,0.42857142857142855
15807,361011438_92056875599_228427,Test,1,5,0.2
16095,645543282_32237350832_786360,Control,0,4,0.0
16098,467795137_58470186499_647303,Test,0,5,0.0
16135,134174297_19985183355_947935,Control,1,7,0.14285714285714285
16135,252156179_52504721538_22420,Control,0,3,0.0
16135,603799110_74928570629_78901,Control,0,2,0.0
16135,739783204_67389693968_203186,Control,0,2,0.0
16202,645653515_55313657084_433580,Control,0,2,0.0
16295,558426632_81642086968_118345,Test,2,9,0.2222222222222222
16549,64524171_30897881403_51439,Control,1,7,0.14285714285714285
16549,753427569_18850244409_814756,Control,0,2,0.0
16679,631094538_40934578387_732941,Control,0,3,0.0
16679,85558076_31261622200_309744,Control,0,4,0.0
16744,597759195_79881251371_979710,Control,0,2,0.0
16747,710509256_16863194822_534405,Control,0,5,0.0
17008,783164451_73914575132_100535,Control,0,5,0.0
17036,5412690_51912871017_388447,Control,0,5,0.0
17160,288601631_61200777965_80603,Control,0,2,0.0
17160,538060873_21894661498_98676,Control,0,2,0.0
17160,721325432_59287115696_45567,Control,0,5,0.0
17170,112195503_4147328637_416285,Test,0,5,0.0
17318,701926986_42855851684_197456,Test,1,5,0.2
17404,595964339_68086747757_836162,Test,0,5,0.0
18549,215323502_66412461127_843587,Test,0,5,0.0
18549,903270355_9893847581_266828,Test,0,2,0.0
18660,599771749_31789266570_129560,Control,1,4,0.25
18973,877001573_38639169699_94006,Control,0,6,0.0
19060,31314165_21341421790_830646,Test,1,5,0.2
19782,595959804_30727742247_747416,Control,0,5,0.0
19813,143231681_56019816087_517213,Control,0,6,0.0
19832,328338410_97956782579_812900,Control,0,5,0.0
20091,521894990_91669109448_321090,Control,1,8,0.125
20185,10208508_48498393982_276767,Test,4,19,0.21052631578947367
20185,291029569_37125028338_581986,Test,3,11,0.2727272727272727
20537,361956812_35822130107_210159,Control,0,5,0.0
20564,256412057_32253956683_488364,Test,2,10,0.2
20643,976784655_22762149240_583677,Test,0,5,0.0
20668,54705633_98224234364_918665,Test,0,3,0.0
21200,356239026_86518334852_703966,Test,1,5,0.2
21242,49249722_23282484399_943418,Control,0,5,0.0
21281,410493783_88709157426_637149,Test,1,7,0.14285714285714285
21281,457143956_15488057485_187815,Test,0,2,0.0
21353,530967959_67713638520_172683,Control,2,9,0.2222222222222222
21403,645109899_64331258526_242093,Test,0,3,0.0
21498,328839464_75225165174_487994,Control,0,4,0.0
21498,514004431_53392778526_830876,Control,0,8,0.0
21522,527187988_84910530519_405513,Test,4,13,0.3076923076923077
21522,671119707_17530009618_73156,Test,1,3,0.3333333333333333
21596,827079958_39299586194_303382,Test,1,7,0.14285714285714285
21719,790931569_86751430606_232479,Control,0,4,0.0
21940,187237415_73313185916_621734,Control,0,2,0.0
21940,264497886_42393255597_533913,Control,0,3,0.0
21940,794772723_91591789623_49001,Control,0,6,0.0
21970,579369959_76319820707_173529,Control,2,6,0.3333333333333333
21970,678408663_57335007509_764949,Control,0,3,0.0
22007,73968490_90355608829_797345,Test,0,6,0.0
22793,656446242_8633410670_446167,Test,0,3,0.0
22885,202128370_21791343218_270234,Control,2,8,0.25
22885,342423216_9055674217_132036,Control,2,9,0.2222222222222222
22885,525552968_26367466820_858249,Control,0,6,0.0
23276,270328799_4570983539_741814,Control,1,7,0.14285714285714285
23864,862778992_82264184824_133012,Control,0,5,0.0
23914,597582580_91727141508_343145,Test,0,5,0.0
24079,854706953_84522230585_304453,Control,0,3,0.0
24443,333132662_67000308675_723690,Test,2,8,0.25
24443,937835222_16528776411_284171,Test,3,13,0.23076923076923078
24572,101834489_14041973684_933577,Test,1,7,0.14285714285714285
24703,568253230_7701684906_552884,Test,0,2,0.0
24703,902557888_9001202517_558559,Test,0,3,0.0
24710,372848838_26065165663_415154,Control,0,5,0.0
24841,245732484_47963379836_530106,Test,0,2,0.0
24841,459771761_81535230322_768844,Test,0,5,0.0
24841,852165935_716760075_895940,Test,0,2,0.0
25022,660566305_80422203970_930581,Test,0,5,0.0
25026,42978712_24743460119_351481,Test,0,6,0.0
25043,577479025_23003224575_613058,Control,0,5,0.0
25766,928597717_39366987912_328775,Control,1,7,0.14285714285714285
26036,414204466_74775563841_963704,Test,0,5,0.0
26070,158839867_85629749975_142552,Test,0,5,0.0
26105,340616021_70560151001_375599,Test,0,6,0.0
26211,759018254_96720413650_129156,Control,0,5,0.0
26286,646886381_6575690337_472133,Control,0,2,0.0
26696,67258240_78649320652_486172,Test,0,3,0.0
27021,525905933_92057215335_225403,Control,1,9,0.1111111111111111
27075,847339667_23878418814_725972,Test,0,5,0.0
27241,122379901_73882407138_824316,Control,2,9,0.2222222222222222
27554,139832184_11300974912_420847,Control,0,5,0.0
27764,848141405_8390359311_560262,Test,0,2,0.0
27764,909501959_18598284968_649950,Test,1,7,0.14285714285714285
27907,245669313_55845221009_577387,Test,0,5,0.0
27988,259712880_91619398898_922199,Control,0,3,0.0
27988,268663775_37083342041_663439,Control,0,3,0.0
27988,579350741_19153261849_192325,Control,0,3,0.0
27988,886083511_19782087550_389870,Control,0,5,0.0
28241,150714187_97321013540_644069,Test,0,6,0.0
28371,669787535_2001405604_766210,Test,0,5,0.0
28371,674785705_42278836210_89908,Test,0,3,0.0
28542,171809703_96593828686_303644,Control,0,5,0.0
28705,253690336_77914363104_423070,Control,1,5,0.2
28705,985523128_60878108519_475101,Control,0,5,0.0
28845,580952843_92010541238_958716,Control,0,5,0.0
28857,20611935_38968216552_8195,Control,3,12,0.25
28857,799390760_4399594763_998748,Control,0,5,0.0
29227,32232938_22171776931_394594,Test,0,8,0.0
29527,902421369_25974475779_625607,Test,0,6,0.0
29595,196664926_37959631601_567951,Control,0,2,0.0
29595,253828702_4091182456_53800,Control,0,5,0.0
30318,414032252_13141996608_789736,Test,0,4,0.0
30318,451860645_51986976003_671260,Test,1,4,0.25
30318,94242687_26011774090_831254,Test,0,5,0.0
30493,10881982_2291331778_727577,Test,1,8,0.125
31191,148306535_2150583524_452562,Control,0,2,0.0
31264,249149549_93063430359_775160,Control,0,2,0.0
31264,716532487_25741243212_493535,Control,1,7,0.14285714285714285
31336,296922855_83636314863_719152,Test,0,5,0.0
31336,343288418_2704283301_738722,Test,3,10,0.3
31404,978124541_68436648954_178305,Test,0,5,0.0
31499,898505863_76929932924_170177,Test,1,9,0.1111111111111111
31502,707649935_38522318149_168113,Control,1,9,0.1111111111111111
31597,184586102_78834247258_726297,Test,0,2,0.0
31597,573653666_38574505841_953176,Test,1,5,0.2
31597,600166727_58963640265_39538,Test,0,5,0.0
31597,842320361_24930563126_410607,Test,1,5,0.2
31715,270150115_26404318524_194346,Control,0,5,0.0
31766,319608733_8866345603_6221,Test,1,5,0.2
31766,575636726_94200475329_418708,Test,0,2,0.0
32197,993583906_25807203277_860781,Control,0,5,0.0
32305,572773022_49421929655_89428,Control,0,2,0.0
32471,610412201_70455647539_927120,Test,4,9,0.4444444444444444
32521,217910228_66334118816_860018,Test,0,5,0.0
32746,228284822_40598171939_119839,Test,2,10,0.2
32859,710388620_31710037671_314891,Control,0,4,0.0
33190,147670519_51086053990_177899,Control,0,5,0.0
33265,559935292_41447444936_619191,Test,0,5,0.0
33463,753474534_6597398149_171746,Control,3,12,0.25
33472,494412699_38179227214_29457,Test,0,4,0.0
33472,924888231_78226178740_225058,Test,0,5,0.0
33752,134643104_24360993137_860696,Test,0,5,0.0
34067,105458872_73633905256_530797,Control,1,7,0.14285714285714285
34101,4563284_31325166979_591188,Test,0,4,0.0
34267,675050464_40640179349_303380,Control,0,5,0.0
34501,884415760_74544386850_520553,Control,3,7,0.42857142857142855
34603,264983456_55288849407_826462,Control,0,5,0.0
34608,686212308_51441310099_794966,Test,0,2,0.0
34631,933322030_83639599371_585586,Control,2,7,0.2857142857142857
35010,669805534_99814880620_105332,Test,2,5,0.4
35087,656173332_25606320551_748921,Control,1,5,0.2
35091,513775028_54612217783_884073,Test,1,3,0.3333333333333333
35138,750801449_41595515776_366601,Test,0,5,0.0
35138,844769084_79339910472_207038,Test,0,2,0.0
35181,730226341_26673717721_405202,Test,0,3,0.0
35181,95312600_32167455223_879994,Test,0,5,0.0
35257,792270484_79667424754_883949,Control,0,5,0.0
35346,16596855_24949200167_810598,Control,0,5,0.0
35417,605900266_15899735773_48030,Control,0,5,0.0
35476,379785835_9853345500_781684,Test,0,7,0.0
35476,661495731_52514710825_523851,Test,1,4,0.25
35922,454873758_44961103960_436775,Test,0,6,0.0
36109,323091457_98221684598_337461,Control,0,5,0.0
36109,711681739_50728669212_888267,Control,0,2,0.0
36342,645047305_23085918590_582192,Test,0,5,0.0
36363,230190780_40265705787_803867,Test,0,5,0.0
36430,835816396_30039866330_92205,Test,1,10,0.1
36432,638692692_54943890081_510434,Test,2,5,0.4
36555,276008776_6187559850_732189,Test,1,10,0.1
36986,263415366_88368405236_44885,Test,0,2,0.0
36986,514008566_54144851038_736529,Test,0,2,0.0
36986,610763272_78958974287_186487,Test,3,12,0.25
37064,108160928_74041165668_179601,Control,2,9,0.2222222222222222
37295,860974573_56720549903_835373,Control,1,7,0.14285714285714285
37408,87485400_37788346680_39057,Control,0,5,0.0
37423,311519110_62877397316_636773,Test,1,7,0.14285714285714285
37423,399365683_87345712137_804047,Test,1,4,0.25
37423,567820574_93405602099_3010,Test,1,3,0.3333333333333333
37667,748657992_72419971402_965674,Test,0,5,0.0
37691,414999562_21385457178_150226,Test,1,4,0.25
37705,692166582_67287072384_747957,Test,0,5,0.0
37897,230546925_53432959569_216507,Test,0,5,0.0
38275,359331941_76511062609_68875,Test,0,2,0.0
38283,391359310_52526237406_333998,Test,1,8,0.125
38340,110812049_21946570521_410833,Test,0,5,0.0
38551,638544702_77373552014_572090,Test,0,5,0.0
38685,180927713_23014874476_363056,Control,0,5,0.0
38714,800069931_72563880914_503531,Control,0,5,0.0
38775,146591696_83294151472_798400,Test,0,2,0.0
38930,169926159_54845613863_474836,Control,1,8,0.125
38963,967863339_1007074920_176089,Control,0,5,0.0
39075,898885344_90280540339_455548,Control,0,5,0.0
39566,967352007_45790274730_611537,Test,0,5,0.0
39968,738589305_5507250289_173388,Control,0,2,0.0
40283,128694242_11244260661_172682,Test,0,9,0.0
40439,955891944_45130120848_88900,Test,0,5,0.0
40969,548632293_64898384632_265387,Test,1,5,0.2
41122,290225500_25540519434_519044,Test,0,5,0.0
41142,659587073_1955804683_396312,Test,0,7,0.0
41142,732612044_44904867332_599760,Test,0,6,0.0
41199,647552139_48569565117_350431,Test,0,5,0.0
41237,179137022_3817559380_130125,Test,0,6,0.0
41516,535379787_70953770369_239486,Control,0,5,0.0
41652,787088364_42565048089_987148,Control,0,2,0.0
41924,482091972_67802627615_409448,Test,0,2,0.0
41924,803985727_12962083352_519761,Test,1,4,0.25
42082,829148934_9921404344_147548,Control,0,6,0.0
42296,706376913_10734857558_811890,Control,0,2,0.0
42296,93586204_43300463810_177312,Control,0,2,0.0
42349,502267956_71258094326_668821,Test,0,5,0.0
42725,24762310_39470410918_872096,Test,0,5,0.0
43494,192916350_1881896096_594863,Control,0,2,0.0
43494,386967404_43060062970_361355,Control,0,4,0.0
43645,548195952_11340691543_784671,Test,0,2,0.0
43645,982763498_76642298127_213038,Test,0,4,0.0
43766,810511056_19414519852_118431,Control,0,2,0.0
44060,897062429_65421712627_71592,Control,2,9,0.2222222222222222
44216,687063223_33984232717_758527,Control,0,7,0.0
44705,747248516_24137338282_592447,Test,1,8,0.125
44860,794965500_18939486436_512171,Control,0,5,0.0
44932,550867472_4726630807_982457,Test,0,5,0.0
44995,147069409_81809485977_603374,Test,0,2,0.0
45131,244261915_94378818692_365347,Test,0,8,0.0
45131,906151155_12846273306_149819,Test,0,4,0.0
45232,531578168_22995189593_320487,Test,0,3,0.0
45232,611673583_2113032196_733397,Test,0,2,0.0
45232,6435534_46302282847_973279,Test,0,6,0.0
45485,10463399_86967089664_748023,Test,1,8,0.125
45510,220912169_22832501286_557341,Test,1,5,0.2
45510,908754911_34738618738_563447,Test,0,5,0.0
46223,243278367_2017139765_629811,Control,0,4,0.0
46790,490181959_71427900058_572913,Test,1,4,0.25
46934,32258740_94009947344_268166,Test,0,2,0.0
47402,162840737_3922274774_13497,Control,1,4,0.25
47571,113831903_66637399804_682438,Control,0,5,0.0
47860,792299634_97903168874_502496,Test,1,6,0.16666666666666666
47933,307556867_98165379376_291369,Control,0,5,0.0
47933,622040287_50892902330_716699,Control,0,3,0.0
48241,360066251_63949380782_132532,Control,0,2,0.0
48241,692569251_47697604544_443937,Control,6,16,0.375
48424,483881400_11083850789_312292,Control,0,3,0.0
48424,833433809_67706629823_501221,Control,1,4,0.25
48424,915471456_87408299844_797558,Control,0,6,0.0
48431,684543557_74744216626_700180,Control,0,5,0.0
48448,331615026_46718458763_258848,Test,0,6,0.0
48724,450223076_1270239040_103471,Test,0,7,0.0
48724,87484851_35057772341_623035,Test,1,5,0.2
49412,838425641_58860619588_407038,Control,2,9,0.2222222222222222
49450,947417142_54079482666_997512,Control,1,9,0.1111111111111111
49709,3731154_65856220759_887634,Test,3,11,0.2727272727272727
49998,908509953_84832260910_132526,Test,0,2,0.0
50053,117148374_23007934750_723969,Test,0,5,0.0
50090,438030125_81387028198_5339,Test,0,5,0.0
50185,183896514_46132778513_999591,Control,0,5,0.0
50271,475201178_31383506300_405176,Control,0,5,0.0
50325,551185193_55842044169_970707,Test,0,5,0.0
50599,775384779_58451056523_496325,Test,0,2,0.0
50643,5765693_25724371872_368208,Control,0,7,0.0
51493,589158940_48051862097_51642,Test,0,5,0.0
51526,134346196_17609374757_449565,Test,1,9,0.1111111111111111
51706,82826369_17146795583_628815,Control,0,5,0.0
51814,412387210_89436250619_308924,Control,0,5,0.0
51902,335453040_3847193462_575230,Control,0,5,0.0
52111,299084436_75098989899_564804,Control,0,3,0.0
52111,54519276_56322694663_103480,Control,0,2,0.0
52111,66743123_1421602638_316706,Control,0,5,0.0
52111,82584123_82200827124_627189,Control,0,5,0.0
52309,860586497_47595065068_261479,Test,3,7,0.42857142857142855
52456,524589192_33382214926_416168,Control,0,2,0.0
52456,974429697_39365734813_289320,Control,1,7,0.14285714285714285
52461,510072961_45375022441_651014,Control,0,5,0.0
52743,406073591_12813388657_556131,Test,3,12,0.25
52765,473611699_88698300702_676504,Control,0,5,0.0
53094,209692687_657787229_421530,Control,0,5,0.0
53123,614415920_92013808329_545388,Control,0,5,0.0
53126,292502369_4064709550_81898,Control,0,5,0.0
53396,777642463_32133154379_262810,Test,0,6,0.0
53990,116247956_70538225553_674097,Control,0,4,0.0
54231,382469695_94657812814_22266,Test,0,5,0.0
54291,266600258_97583660405_671014,Control,0,5,0.0
54363,674254978_92905721633_451960,Control,0,5,0.0
54893,850012832_27444155456_83608,Test,0,5,0.0
55059,865259378_53104489234_966291,Test,0,5,0.0
55265,820893417_48900423332_323812,Test,1,8,0.125
55333,139597531_51035559432_717006,Test,0,6,0.0
55448,882125875_3305639408_136269,Control,0,5,0.0
55448,925381309_51194515110_418854,Control,0,2,0.0
55951,179222720_61693208013_45132,Test,0,3,0.0
56294,541315509_60344165848_536193,Test,1,7,0.14285714285714285
56529,526951008_47314864700_913042,Control,0,8,0.0
56570,616719426_37256103158_532036,Test,2,7,0.2857142857142857
56782,269787940_29160450218_924856,Control,1,5,0.2
